MIRNA	GENE	INPUT
rno-miR-322	Bicd2	1
rno-miR-322	Pcdha3	1
rno-miR-322	Lrrn3	1
rno-miR-322	Nppb	1
rno-miR-322	Gabarapl2	1
rno-miR-322	Dclk1	1
rno-miR-322	Dclk1	1
rno-miR-322	Akr1c2	1
rno-miR-322	Podxl	1
rno-miR-322	Hsd17b7	1
rno-miR-322	Pi4k2b	1
rno-miR-322	Cd40	1
rno-miR-322	Adcy5	1
rno-miR-322	Rfx3	1
rno-miR-322	Zbtb43	1
rno-miR-322	Cel	1
rno-miR-322	Atp1b4	1
rno-miR-322	Dll1	1
rno-miR-322	Pigm	1
rno-miR-322	RT1-CE16	1
rno-miR-322	Ube2b	1
rno-miR-322	Them4	1
rno-miR-322	Btrc	1
rno-miR-322	Glb1l3	1
rno-miR-322	Sema4a	1
rno-miR-322	Vezt	1
rno-miR-322	Phlda3	1
rno-miR-322	Ppm1a	1
rno-miR-322	Tfpi2	1
rno-miR-322	Fhl1	1
rno-miR-322	Dek	1
rno-miR-322	Dek	1
rno-miR-322	Sgk1	1
rno-miR-322	Fhl1	1
rno-miR-322	Drd1a	1
rno-miR-322	Rab8a	1
rno-miR-322	Uhmk1	1
rno-miR-322	Gnai3	1
rno-miR-322	Gnai3	1
rno-miR-322	Lasp1	1
rno-miR-322	Taf11	1
rno-miR-322	Cmas	1
rno-miR-322	Clic5	1
rno-miR-322	Cd53	1
rno-miR-322	Cacna2d1	1
rno-miR-322	RT1-CE5	1
rno-miR-322	Dctn4	1
rno-miR-322	Nr4a1	1
rno-miR-322	Gabrg3	1
rno-miR-322	Efnb1	1
rno-miR-322	RGD621352	1
rno-miR-322	Tspan5	1
rno-miR-322	Shank2	1
rno-miR-322	Masp1	1
rno-miR-322	Gabra1	1
rno-miR-322	Atg9a	1
rno-miR-322	Acsl4	1
rno-miR-322	Fam54b	1
rno-miR-322	Fam54b	1
rno-miR-322	Sgsm3	1
rno-miR-322	Slc6a1	1
rno-miR-322	Slc29a2	1
rno-miR-322	Ccl24	1
rno-miR-322	Ushbp1	1
rno-miR-322	Chmp4c	1
rno-miR-322	Csk	1
rno-miR-322	Ino80c	1
rno-miR-322	Ehhadh	1
rno-miR-322	Carm1	1
rno-miR-322	Klc4	1
rno-miR-322	Smad7	1
rno-miR-322	RGD1309228	1
rno-miR-322	Stard6	1
rno-miR-322	Vars2	1
rno-miR-322	Capza3	1
rno-miR-322	G7c	1
rno-miR-322	Mapkapk3	1
rno-miR-322	Tle3	1
rno-miR-322	Scd1	1
rno-miR-322	Acadm	1
rno-miR-322	Kcnv1	1
rno-miR-322	Atp6v1g2	1
rno-miR-322	Nup210	1
rno-miR-322	Nup210	1
rno-miR-322	Nup210	1
rno-miR-322	Pcdha6	1
rno-miR-322	Txnrd1	1
rno-miR-322	Tuba1a	1
rno-miR-322	Rffl	1
rno-miR-322	Cdc25a	1
rno-miR-322	Whsc2	1
rno-miR-322	Esrrg	1
rno-miR-322	Ssb	1
rno-miR-322	Lypla2	1
rno-miR-322	Kitlg	1
rno-miR-322	P2ry1	1
rno-miR-322	Plekha3	1
rno-miR-322	Cartpt	1
rno-miR-322	Txndc1	1
rno-miR-322	Trhr	1
rno-miR-322	Cga	1
rno-miR-322	Ppp2ca	1
rno-miR-322	Isoc1	1
rno-miR-322	Sgms1	1
rno-miR-322	Vamp1	1
rno-miR-322	Nr1i3	1
rno-miR-322	LOC502894	1
rno-miR-322	LOC502894	1
rno-miR-322	Cd164	1
rno-miR-322	Aatf	1
rno-miR-322	Oas1b	1
rno-miR-322	Oxct2a	1
rno-miR-322	Pla2g15	1
rno-miR-322	Freq	1
rno-miR-322	Pigv	1
rno-miR-322	Snip	1
rno-miR-322	MGC109340	1
rno-miR-322	Mmd	1
rno-miR-322	Inhbc	1
rno-miR-322	Cox15	1
rno-miR-322	Dusp9	1
rno-miR-322	Cenpn	1
rno-miR-322	LOC498606	1
rno-miR-322	MGC114483	1
rno-miR-322	Slc4a10	1
rno-miR-322	Ccdc134	1
rno-miR-322	Jak2	1
rno-miR-322	Ceacam3	1
rno-miR-322	Myadm	1
rno-miR-322	Sdhc	1
rno-miR-322	Slc16a6	1
rno-miR-322	Axin2	1
rno-miR-322	Kcnab1	1
rno-miR-322	Ap3m1	1
rno-miR-322	LOC498664	1
rno-miR-322	Ap2b1	1
rno-miR-322	Tle3	1
rno-miR-322	Tle3	1
rno-miR-322	Gtdc1	1
rno-miR-322	Rassf5	1
rno-miR-322	MGC94915	1
rno-miR-322	Ankrd34a	1
rno-miR-322	Rab1	1
rno-miR-322	Wdyhv1	1
rno-miR-322	Slc16a1	1
rno-miR-322	LOC497934	1
rno-miR-322	Nfia	1
rno-miR-322	Trip13	1
rno-miR-322	Ubxn4	1
rno-miR-322	Kcnj3	1
rno-miR-322	Wbp4	1
rno-miR-322	Pdk4	1
rno-miR-322	Slc6a12	1
rno-miR-322	Cdr2	1
rno-miR-322	Mllt11	1
rno-miR-322	Tcirg1	1
rno-miR-322	Klf5	1
rno-miR-322	Vnn1	1
rno-miR-322	Lox	1
rno-miR-322	Nptn	1
