MIRNA	GENE	INPUT
dme-miR-1	CstF-64	1
dme-miR-1	CG13116	1
dme-miR-1	Vha55	1
dme-miR-1	CG12374	1
dme-miR-1	CG11436	1
dme-miR-1	CG11436	1
dme-miR-1	CG13021	1
dme-miR-1	unc-13	1
dme-miR-1	CG4896	1
dme-miR-1	CG17019	1
dme-miR-1	CG5734	1
dme-miR-1	CG4928	1
dme-miR-1	CG8443	1
dme-miR-1	CG2543	1
dme-miR-1	Tsp29Fb	1
dme-miR-1	RhoGAP68F	1
dme-miR-1	Syt1	1
dme-miR-1	CG8191	1
dme-miR-1	CG17271	1
dme-miR-1	Socs36E	1
dme-miR-1	CG6838	1
dme-miR-1	CG32138	1
dme-miR-1	svr	1
dme-miR-1	CG18549	1
dme-miR-1	Octbeta3R	1
dme-miR-1	Lcp4	1
dme-miR-1	CG6300	1
dme-miR-1	l(1)G0196	1
dme-miR-1	Gli	1
dme-miR-1	CG6151	1
dme-miR-1	CG17224	1
dme-miR-1	CG4853	1
dme-miR-1	fzy	1
dme-miR-1	CG7220	1
dme-miR-1	CG1674	1
dme-miR-1	CG3655	1
dme-miR-1	CG17193	1
dme-miR-1	bowl	1
dme-miR-1	Chmp1	1
dme-miR-1	CG11779	1
dme-miR-1	Nrx-IV	1
dme-miR-1	CG7139	1
dme-miR-1	CG40228	1
dme-miR-1	CG31121	1
dme-miR-1	ppk	1
dme-miR-1	Patj	1
dme-miR-1	Mlc2	1
dme-miR-1	CG12768	1
dme-miR-1	CG15212	1
dme-miR-1	Gclc	1
dme-miR-1	betaInt-nu	1
dme-miR-1	Nhe2	1
dme-miR-1	CG18480	1
dme-miR-1	CG5326	1
dme-miR-1	CG7337	1
dme-miR-1	CG7337	1
dme-miR-1	Clc	1
dme-miR-1	CG3822	1
dme-miR-1	CG31639	1
dme-miR-1	tra	1
dme-miR-1	CG1951	1
dme-miR-1	CG33232	1
dme-miR-1	CG31495	1
dme-miR-1	CG17378	1
dme-miR-1	CG6044	1
dme-miR-1	dsd	1
dme-miR-1	scrt	1
dme-miR-1	scrt	1
dme-miR-1	CG3523	1
dme-miR-1	Pi3K68D	1
dme-miR-1	Pi3K68D	1
dme-miR-1	Yp2	1
dme-miR-1	uzip	1
dme-miR-1	CG15673	1
dme-miR-1	sec10	1
dme-miR-1	hts	1
dme-miR-1	CG10191	1
dme-miR-1	how	1
dme-miR-1	CG11284	1
dme-miR-1	hyd	1
dme-miR-1	Sox14	1
dme-miR-1	CG4662	1
dme-miR-1	dos	1
dme-miR-1	dos	1
dme-miR-1	Axs	1
dme-miR-1	E(var)3-9	1
dme-miR-1	os	1
dme-miR-1	os	1
dme-miR-1	CG1227	1
dme-miR-1	mit(1)15	1
dme-miR-1	pyd	1
dme-miR-1	CG4351	1
dme-miR-1	CG34126	1
dme-miR-1	CG8121	1
dme-miR-1	Past1	1
dme-miR-1	CG1092	1
dme-miR-1	CG13248	1
dme-miR-1	TH1	1
dme-miR-1	CG6838	1
dme-miR-1	scra	1
dme-miR-1	U2af50	1
dme-miR-1	CG10186	1
dme-miR-1	CG42327	1
dme-miR-1	CG2183	1
dme-miR-1	Mnn1	1
dme-miR-1	Mmp1	1
dme-miR-1	l(2)gd1	1
dme-miR-1	l(2)gd1	1
dme-miR-1	Hsp60	1
dme-miR-1	Nup107	1
dme-miR-1	CG6129	1
dme-miR-1	pros	1
dme-miR-1	CG34360	1
dme-miR-1	CG34360	1
dme-miR-1	grk	1
dme-miR-1	CG2712	1
dme-miR-1	G-oalpha47A	1
dme-miR-1	CG8243	1
dme-miR-1	Ets65A	1
dme-miR-1	CG42492	1
dme-miR-1	CG8029	1
dme-miR-1	CG5265	1
dme-miR-1	skl	1
dme-miR-1	aPKC	1
dme-miR-1	A3-3	1
dme-miR-1	CG17754	1
dme-miR-1	Rab4	1
dme-miR-1	CG5674	1
dme-miR-1	Pk17E	1
dme-miR-1	CG17218	1
dme-miR-1	CG12384	1
dme-miR-1	CG17471	1
dme-miR-1	lola	1
dme-miR-1	trsn	1
dme-miR-1	Cas	1
dme-miR-1	CG12948	1
dme-miR-1	CG6583	1
dme-miR-1	CG6583	1
dme-miR-1	Wnt2	1
dme-miR-1	CG6218	1
dme-miR-1	CG4577	1
dme-miR-1	asl	1
dme-miR-1	CG4306	1
dme-miR-1	Sox100B	1
dme-miR-1	CG2812	1
dme-miR-1	CG6672	1
dme-miR-1	CG12609	1
dme-miR-1	CG12609	1
dme-miR-1	lola	1
dme-miR-1	Awh	1
dme-miR-1	CG34193	1
dme-miR-1	CG2446	1
dme-miR-1	Vha68-2	1
dme-miR-1	lig	1
dme-miR-1	CG17083	1
dme-miR-1	Sdic4	1
dme-miR-1	CG11089	1
dme-miR-1	CG3770	1
dme-miR-1	sty	1
dme-miR-1	CG34261	1
dme-miR-1	CG34261	1
dme-miR-1	CG12702	1
dme-miR-1	Pgd	1
dme-miR-1	Cha	1
dme-miR-1	GalNAc-T2	1
dme-miR-1	ferrochelatase	1
dme-miR-1	Oatp33Eb	1
dme-miR-1	Hsc70Cb	1
dme-miR-1	Ugt	1
dme-miR-1	hydra	1
dme-miR-1	hydra	1
dme-miR-1	CG9941	1
dme-miR-1	unc-13	1
dme-miR-1	CG11426	1
dme-miR-1	CG13428	1
dme-miR-1	Cyp4s3	1
dme-miR-1	crq	1
dme-miR-1	CG5854	1
dme-miR-1	pdm2	1
dme-miR-1	pdm2	1
dme-miR-1	cp309	1
dme-miR-1	CG10845	1
dme-miR-1	CG3355	1
dme-miR-1	car	1
dme-miR-1	CG8155	1
dme-miR-1	Sap47	1
dme-miR-1	CG17618	1
dme-miR-1	Tektin-A	1
dme-miR-1	HPS	1
dme-miR-1	Lar	1
dme-miR-1	CG31798	1
dme-miR-1	Jafrac2	1
dme-miR-1	mus304	1
dme-miR-1	ck	1
dme-miR-1	ck	1
dme-miR-1	obst-J	1
dme-miR-1	CG13253	1
dme-miR-1	CG8866	1
dme-miR-1	CG7536	1
dme-miR-1	CG14681	1
dme-miR-1	CG15096	1
dme-miR-1	CG17985	1
dme-miR-1	Fer1	1
dme-miR-1	CG7158	1
dme-miR-1	CG17665	1
dme-miR-1	CG10841	1
dme-miR-1	CREG	1
dme-miR-1	CG8841	1
dme-miR-1	Uba1	1
dme-miR-1	Tsp97E	1
dme-miR-1	wee	1
dme-miR-1	CG5446	1
dme-miR-1	CG17218	1
dme-miR-1	CG12219	1
dme-miR-1	Adhr	1
dme-miR-1	CG31743	1
dme-miR-1	CG4038	1
dme-miR-1	svr	1
dme-miR-1	H	1
dme-miR-1	CG8036	1
dme-miR-1	poly	1
dme-miR-1	spt4	1
dme-miR-1	Ubi-p63E	1
dme-miR-1	CG7145	1
dme-miR-1	CG5676	1
dme-miR-1	CG31100	1
dme-miR-1	CG14221	1
dme-miR-1	cbs	1
dme-miR-1	CG15719	1
dme-miR-1	CG30271	1
dme-miR-1	Vps16A	1
dme-miR-1	cno	1
dme-miR-1	CG2177	1
dme-miR-1	CG3305	1
dme-miR-1	CG12310	1
dme-miR-1	CG6751	1
dme-miR-1	Ace	1
dme-miR-1	CG13675	1
dme-miR-1	Trl	1
dme-miR-1	Wnt4	1
dme-miR-1	CG13532	1
dme-miR-1	CG6783	1
dme-miR-1	CG14358	1
dme-miR-1	Keap1	1
dme-miR-1	CG1399	1
dme-miR-1	CG4730	1
dme-miR-1	VhaSFD	1
dme-miR-1	Df31	1
dme-miR-1	CG8290	1
dme-miR-1	Dhap-at	1
dme-miR-1	CG4996	1
dme-miR-1	lds	1
dme-miR-1	Rab4	1
dme-miR-1	ft	1
dme-miR-1	CG4511	1
dme-miR-1	chn	1
dme-miR-1	CG32091	1
dme-miR-1	CG2310	1
dme-miR-1	CG10778	1
dme-miR-1	CG11134	1
dme-miR-1	CG18011	1
dme-miR-1	CG6005	1
dme-miR-1	CG12404	1
dme-miR-1	PGRP-LB	1
dme-miR-1	CG33111	1
dme-miR-1	Scamp	1
dme-miR-1	CG4925	1
