miRNA	E10.5	E11.5	E12.5	E13.5	E14.5	E16.5	P3	P6	P9	Adult
mmu-miR-23a	9.51096191928	9.51096191928	9.51096191928	9.51096191928	9.51096191928	8.67313237215	8.82017896242	8.82017896242	8.82017896242	9.64475759252
mmu-miR-23b	8.58833986092	8.58833986092	8.58833986092	8.58833986092	8.58833986092	8.56300555306	8.16791986555	8.16791986555	8.16791986555	9.60936345039
mmu-miR-24	9.790837187	9.790837187	9.790837187	9.790837187	9.790837187	8.98384867402	9.07467668629	9.07467668629	9.07467668629	10.4313931331
mmu-miR-26a	10.7187041057	10.7187041057	10.7187041057	10.7187041057	10.7187041057	10.9125151448	10.8885149563	10.8885149563	10.8885149563	11.0505969235
mmu-miR-27b	7.58421090131	7.58421090131	7.58421090131	7.58421090131	7.58421090131	7.18189764311	7.89542381038	7.89542381038	7.89542381038	8.88782986169
mmu-miR-29a	6.4822029263	6.4822029263	6.4822029263	6.4822029263	6.4822029263	7.02901108666	8.31922050252	8.31922050252	8.31922050252	11.3767223179
mmu-miR-29b	6.20163386117	6.20163386117	6.20163386117	6.20163386117	6.20163386117	6.6308131523	8.59357786734	8.59357786734	8.59357786734	11.7873720593
mmu-miR-29b	6.20163386117	6.20163386117	6.20163386117	6.20163386117	6.20163386117	6.6308131523	8.59357786734	8.59357786734	8.59357786734	11.7873720593
mmu-miR-29a	6.4822029263	6.4822029263	6.4822029263	6.4822029263	6.4822029263	7.02901108666	8.31922050252	8.31922050252	8.31922050252	11.3767223179
mmu-miR-30a	8.04056371116	8.04056371116	8.04056371116	8.04056371116	8.04056371116	7.71904650393	7.56376827845	7.56376827845	7.56376827845	7.13031314554
mmu-miR-30b	9.79814774561	9.79814774561	9.79814774561	9.79814774561	9.79814774561	9.77824143624	9.29439100209	9.29439100209	9.29439100209	9.61194694182
mmu-miR-30c	9.81458246591	9.81458246591	9.81458246591	9.81458246591	9.81458246591	10.2608019498	9.95041008927	9.95041008927	9.95041008927	9.78594281939
mmu-miR-30d	10.7359790396	10.7359790396	10.7359790396	10.7359790396	10.7359790396	10.156209512	9.90779199835	9.90779199835	9.90779199835	10.3171864683
mmu-miR-33	10.0454866564	10.0454866564	10.0454866564	10.0454866564	10.0454866564	11.1332706746	11.3597495603	11.3597495603	11.3597495603	9.02153524878
mmu-miR-34a	8.32327998789	8.32327998789	8.32327998789	8.32327998789	8.32327998789	8.18388345903	8.32957212577	8.32957212577	8.32957212577	8.6621342748
mmu-miR-9	12.5908209309	12.5908209309	12.5908209309	12.5908209309	12.5908209309	12.1764848473	11.6804913909	11.6804913909	11.6804913909	11.1907506497
mmu-miR-96	3.71149490665	3.71149490665	3.71149490665	3.71149490665	3.71149490665	3.49825086753	3.90689059561	3.90689059561	3.90689059561	5.39574832818
mmu-miR-98	8.31922050252	8.31922050252	8.31922050252	8.31922050252	8.31922050252	9.01038823531	9.35380846047	9.35380846047	9.35380846047	8.68580001974
mmu-miR-29c	7.05311133646	7.05311133646	7.05311133646	7.05311133646	7.05311133646	7.63952159951	8.98099636973	8.98099636973	8.98099636973	11.9531051506
mmu-miR-30a	8.04056371116	8.04056371116	8.04056371116	8.04056371116	8.04056371116	7.71904650393	7.56376827845	7.56376827845	7.56376827845	7.13031314554
mmu-miR-217	3.972692654	3.972692654	3.972692654	3.972692654	3.972692654	3.18586654531	4.25550073315	4.25550073315	4.25550073315	0.847996906555
mmu-miR-199b	7.60362634499	7.60362634499	7.60362634499	7.60362634499	7.60362634499	6.47411151394	5.99548451888	5.99548451888	5.99548451888	2.23266075679
mmu-miR-211	7.12308675098	7.12308675098	7.12308675098	7.12308675098	7.12308675098	8.34917063086	8.86727873971	8.86727873971	8.86727873971	7.59842476053
mmu-miR-10b	3.39231742278	3.39231742278	3.39231742278	3.39231742278	3.39231742278	7.5376066915	6.75087443966	6.75087443966	6.75087443966	2.86789646399
mmu-miR-129	4.28540221886	4.28540221886	4.28540221886	4.28540221886	4.28540221886	4.6264391367	6.15987133678	6.15987133678	6.15987133678	6.59693514239
mmu-miR-184	1.88752527074	1.88752527074	1.88752527074	1.88752527074	1.88752527074	1.37851162325	1.53605290024	1.53605290024	1.53605290024	1.88752527074
mmu-miR-185	9.378078056	9.378078056	9.378078056	9.378078056	9.378078056	8.94836723158	8.74584236256	8.74584236256	8.74584236256	8.80799883862
