gene	E10.5	E11.5	E12.5	E13.5	E14.5	E16.5	P3	P6	P9	Adult
Cald1	2.21661327414	4.32871756984	3.06012176961	0.0	3.50347595134	0.0	0.0	0.0	0.0	0.0
Dok1	7.39192847405	8.24541411591	8.41195498721	8.72708998542	8.38963133926	8.742853488	8.49408545582	9.09125000931	8.61145092119	9.31913688485
Lmna	0.0	5.72816897465	5.26821328301	4.93512968177	5.5176851337	4.76039526832	2.39128291345	4.05318515327	2.89001790696	1.75661903117
Gstt2	0.0	0.823542106314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ubiad1	5.41545019064	6.63565728283	6.50763797658	7.21882959256	6.88512284145	7.03728035563	6.4146258896	6.12792186332	6.47187041138	7.19325208296
Fam92a	6.89421174821	5.94986696421	5.56124381695	4.16269343221	4.65133876611	4.08874838933	4.02257466003	3.78688865977	4.40640763447	2.45069895587
Nt5c1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700018B08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Grk1	0.0	0.0	1.54957622143	0.0	0.0	0.0	1.21927950346	0.0	0.0	0.0
Sgtb	0.0	3.39910682572	3.12187148461	0.0	3.50347595134	2.21731411382	3.81529916671	0.0	1.17919813098	1.38032338573
Slc26a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Taf5l	7.19845157079	7.13616329656	6.47659317483	6.26858410509	6.75304287974	6.76319382301	5.8329372419	6.11424328727	5.78082481766	7.35859389417
Slc9a8	5.71296096487	7.40864981646	7.66881765531	7.73049051649	8.41898682021	8.21895883866	9.03118796463	8.91636614784	9.26105763951	9.00086424235
Gm5796	0.0	1.79559650587	1.54957622143	3.24107745818	2.15283240469	3.98794081764	3.74205823967	5.92278077088	6.25869740577	5.85867356038
Loxl3	6.19374491826	6.27350801152	6.650524042	8.31318688732	8.84383313683	9.40034306387	8.75667019713	8.80618803462	8.52248914342	6.98927227049
Esp38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kcnh2	0.0	2.41552453745	2.27904734812	2.38625914113	3.50347595134	0.0	0.0	0.0	1.28474554598	0.0
Esp36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tada1	6.59370303466	7.25089495724	6.9670403078	6.41871281327	6.38770718025	5.68983716103	5.78062883893	5.62258334754	6.43911885409	6.31030974508
Spag1	2.23223611767	3.16302257436	3.65036548751	3.77431267092	3.88645259872	1.94132152468	3.89629589527	4.63192428659	2.90040450687	3.41528725854
Rnasek	9.27602070505	9.86586111973	10.1995694994	9.58949385516	9.50164613953	9.71341040907	9.62128456825	9.28345396755	9.3353641176	9.79911752545
Golt1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Reg1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ppm1f	6.48700010495	7.76649771922	7.54125086451	8.63804124581	8.4898680256	7.77859376002	7.76029177109	8.08587578344	7.7887352618	7.98360694312
Hdac6	6.95768190831	7.22769090283	6.77188576202	7.61078863352	7.0061296847	7.65535808325	7.68411585574	7.85207339116	7.21934185724	6.71546384113
Sh2d5	0.0	0.823542106314	3.08851670608	0.0	4.1887174092	1.42339707974	2.85057125005	2.32745226191	1.28474554598	4.32242514123
